Slide TCGA-BP-4776-11A-01-TS1.908fdd2f-b0df-42ef-896f-7359b8d810ac.svs Done. Slide Dimensions W=4000 H=6090, #Patches=30
Slide TCGA-B0-4694-01A-01-BS1.9ff481af-8725-418c-9bac-15a278dcbe29.svs Done. Slide Dimensions W=9000 H=6485, #Patches=40
Slide TCGA-BP-4332-01A-01-TS1.b1c81b20-17ad-45c0-b6f9-c01285981699.svs Done. Slide Dimensions W=9000 H=8329, #Patches=168
Slide TCGA-CZ-4864-01A-01-BS1.7607f567-91c0-4935-9572-0f9f8ae605af.svs Done. Slide Dimensions W=5500 H=5564, #Patches=41
Slide TCGA-B0-5107-01A-01-BS1.d882c53c-ff64-4365-ad11-816b430c3927.svs Done. Slide Dimensions W=8500 H=4567, #Patches=29
Slide TCGA-CZ-5461-11A-01-TS1.9c7ac852-d4ff-4a4e-9376-be598abec803.svs Done. Slide Dimensions W=6000 H=6776, #Patches=79
Slide TCGA-BP-5183-11A-01-TS1.f283b0f6-98ac-4b17-965b-f8e74179191b.svs Done. Slide Dimensions W=4000 H=3988, #Patches=24
Slide TCGA-B8-4620-11A-01-TS1.c895eb6b-b348-4718-a1e3-dc4aa377177d.svs Done. Slide Dimensions W=5000 H=4283, #Patches=22
Slide TCGA-B0-5702-01A-01-TS1.46f85a16-fa32-48c5-ad65-3aa0cc998fe0.svs Done. Slide Dimensions W=5000 H=4698, #Patches=32
Slide TCGA-CJ-6033-11A-01-TS1.0f1f958a-fe54-4b10-aefa-5e49e61f7c5d.svs Done. Slide Dimensions W=14628 H=9097, #Patches=127
Slide TCGA-B0-5110-11A-01-TS1.1ccdccc4-0e71-4735-84fd-cb951b07c3a2.svs Done. Slide Dimensions W=6500 H=2417, #Patches=9
Slide TCGA-CJ-5672-11A-01-TS1.c6c12d7e-8fa2-4a8b-aeb8-5a87819e74f3.svs Done. Slide Dimensions W=12711 H=4516, #Patches=35
Slide TCGA-CJ-4891-01A-01-BS1.36bcc55b-e76a-4885-83b7-ae4fae8a0908.svs Done. Slide Dimensions W=15500 H=4243, #Patches=17
Slide TCGA-CZ-5986-11A-01-TS1.bf7ce49a-c395-4c3f-be0f-6126e763b0db.svs Done. Slide Dimensions W=14994 H=13439, #Patches=344
Slide TCGA-BP-4338-11A-01-BS1.a2c16424-c61a-4dd3-bcb8-037f97f48b4a.svs Done. Slide Dimensions W=6500 H=7929, #Patches=90
Slide TCGA-BP-4338-11A-01-TS1.4a88a946-6af9-40b2-be00-13c64bbd588c.svs Done. Slide Dimensions W=7000 H=9906, #Patches=111
Slide TCGA-CJ-4886-01A-01-BS1.50abfd26-85af-47c3-a7b8-1f81d8990bbc.svs Done. Slide Dimensions W=10000 H=5311, #Patches=18
Slide TCGA-B0-5700-01A-01-BS1.fc487029-48b9-49a3-9ced-5d848be1d51c.svs Done. Slide Dimensions W=8500 H=5557, #Patches=10
Slide TCGA-B4-5843-01A-01-BS1.9d1b6d70-a5b6-4664-9a6e-3258570d09d8.svs Done. Slide Dimensions W=5995 H=6458, #Patches=42
Slide TCGA-A3-3370-01A-01-BS1.93cda19a-05c2-455d-8a91-d941887b1364.svs Done. Slide Dimensions W=6000 H=5312, #Patches=39
Slide TCGA-B0-5710-01A-01-BS1.ed81c4c8-d8f7-45e8-b5da-401e86162f59.svs Done. Slide Dimensions W=7000 H=4778, #Patches=48
Slide TCGA-AK-3429-01A-01-TS1.81c6ec51-5a35-42f6-b5a4-711d57b19cea.svs Done. Slide Dimensions W=5000 H=3712, #Patches=31
